symbol,year_label,sales,net_profit
AXISBANK,Mar 2023,85164,9580
AXISBANK,Mar 2024,109369,24861
BAJFINANCE,Mar 2023,41411,11508
BAJFINANCE,Mar 2024,54972,14451
BANKBARODA,Mar 2016,45799,-5033
BANKBARODA,Mar 2020,78895,981
BHARTIARTL,Mar 2020,87539,-30664
BPCL,Mar 2022,346791,11682
BPCL,Mar 2023,473187,2131
BPCL,Mar 2024,448083,26859
CANBK,Mar 2016,44039,-2535
CANBK,Mar 2018,41345,-3873
CANBK,Mar 2020,49759,-1921
CANBK,Mar 2021,70253,2957
CANBK,Mar 2022,70614,6158
COALINDIA,Mar 2013,68303,17356
COALINDIA,Mar 2014,70608,15112
COALINDIA,Mar 2015,74120,13727
COALINDIA,Mar 2016,77861,14267
COALINDIA,Mar 2019,99586,17464
COALINDIA,Mar 2020,96080,16700
COALINDIA,Mar 2021,90026,12702
COALINDIA,Mar 2022,109715,17378
COALINDIA,Mar 2023,138252,31723
COALINDIA,Mar 2024,142324,37369
HDFCBANK,Mar 2017,73271,15317
HDFCBANK,Mar 2018,85288,18561
HDFCBANK,Mar 2019,105161,22446
HDFCBANK,Mar 2020,122189,27296
HDFCBANK,Mar 2021,128552,31857
HDFCBANK,Mar 2022,135936,38151
HDFCBANK,Mar 2023,170754,46149
HDFCBANK,Mar 2024,283649,65446
HINDALCO,Mar 2015,104281,259
HINDALCO,Mar 2017,100184,1882
HINDALCO,Mar 2018,115183,6083
HINDALCO,Mar 2019,130542,5495
HINDALCO,Mar 2020,118144,3767
HINDALCO,Mar 2021,132008,3483
HINDALCO,Mar 2022,195059,13730
HINDALCO,Mar 2023,223202,10097
HINDALCO,Mar 2024,215962,10155
HINDUNILVR,Mar 2023,60580,10143
HINDUNILVR,Mar 2024,61896,10282
ICICIBANK,Mar 2013,44885,10130
ICICIBANK,Mar 2014,49479,11677
ICICIBANK,Mar 2015,54964,12942
ICICIBANK,Mar 2016,59294,10927
ICICIBANK,Mar 2017,60940,11340
ICICIBANK,Mar 2018,62162,9100
ICICIBANK,Mar 2019,71982,5689
ICICIBANK,Mar 2020,84836,11225
ICICIBANK,Mar 2021,89163,20364
ICICIBANK,Mar 2022,95407,26538
ICICIBANK,Mar 2023,121067,35461
ICICIBANK,Mar 2024,159516,46081
IOC,Mar 2013,461780,3627
IOC,Mar 2014,488345,6967
IOC,Mar 2015,449507,4872
IOC,Mar 2016,346045,12413
IOC,Mar 2017,355379,20385
IOC,Mar 2018,421492,22626
IOC,Mar 2019,528158,17274
IOC,Mar 2020,483763,-1876
IOC,Mar 2021,363950,21762
IOC,Mar 2022,589321,25727
IOC,Mar 2023,841756,11704
IOC,Mar 2024,776352,43161
KOTAKBANK,Mar 2024,56237,18213
LICI,Mar 2019,571508,2627
LICI,Mar 2020,628043,2710
LICI,Mar 2021,690914,2974
LICI,Mar 2022,723606,4125
LICI,Mar 2023,784628,35997
LICI,Mar 2024,845966,40916
ONGC,Mar 2017,282506,29169
ONGC,Mar 2018,322706,26068
ONGC,Mar 2019,421624,33938
ONGC,Mar 2020,396728,11456
ONGC,Mar 2021,303849,21360
ONGC,Mar 2022,491246,49294
ONGC,Mar 2023,632291,32778
ONGC,Mar 2024,591396,57101
RELIANCE,Mar 2013,395957,20886
RELIANCE,Mar 2014,433521,22548
RELIANCE,Mar 2015,374372,23640
RELIANCE,Mar 2016,272583,29861
RELIANCE,Mar 2017,303954,29833
RELIANCE,Mar 2018,390823,36080
RELIANCE,Mar 2019,568337,39837
RELIANCE,Mar 2020,596679,39880
RELIANCE,Mar 2021,466307,53739
RELIANCE,Mar 2022,694673,67845
RELIANCE,Mar 2023,876396,74088
RELIANCE,Mar 2024,899041,79020
SBIN,Mar 2017,230447,-97
SBIN,Mar 2018,228970,-3749
SBIN,Mar 2020,269852,21140
SBIN,Mar 2021,278115,23888
SBIN,Mar 2022,289973,37183
SBIN,Mar 2023,350845,57750
SBIN,Mar 2024,439189,69543
TATAMOTORS,Mar 2019,301938,-28724
TATAMOTORS,Mar 2020,261068,-11975
TATAMOTORS,Mar 2021,249795,-13395
TATAMOTORS,Mar 2022,278454,-11309
TATAMOTORS,Mar 2023,345967,2690
TATAMOTORS,Mar 2024,437928,31807
TATASTEEL,Mar 2022,243959,41749
TATASTEEL,Mar 2024,229171,-4910
TCS,Mar 2020,156949,32447
TCS,Mar 2021,164177,32562
TCS,Mar 2022,191754,38449
TCS,Mar 2023,225458,42303
TCS,Mar 2024,240893,46099
VEDL,Mar 2016,64262,-17862
INDIGO,Mar 2024,68904,8167
